Link(url='https://twitter.com/ThePuneMirror', text='Follow', fragment='', nofollow=False)
Link(url='http://www.punemirror.in/photos/entertainment/atif-aslam/punephotos/47405740.cms', text=u'', fragment='', nofollow=False)
Link(url='http://www.punemirror.in/photos/entertainment/emma-stone-and-andrew-garfield/punephotos/47405726.cms', text=u'', fragment='', nofollow=False)
Link(url='http://www.punemirror.in/photos/entertainment/radhika-apte/punephotos/47405701.cms', text=u'', fragment='', nofollow=False)
Link(url='http://www.punemirror.in/photos/entertainment/salma-hayek-and-matthias-schoenaerts/punephotos/47405691.cms', text=u'', fragment='', nofollow=False)
Link(url='http://www.punemirror.in/photos/entertainment/lara-dutta/punephotos/47358586.cms', text=u'', fragment='', nofollow=False)
Link(url='http://www.punemirror.in/photos/entertainment/jessica-alba/punephotos/47358537.cms', text=u'', fragment='', nofollow=False)
Link(url='http://www.punemirror.in/photos/entertainment/beyonce/punephotos/47358485.cms', text=u'', fragment='', nofollow=False)
Link(url='http://www.punemirror.in/photos/entertainment/iggy-azalea/punephotos/47358459.cms', text=u'', fragment='', nofollow=False)
Link(url='http://www.punemirror.in/photos/entertainment/kristen-stewart/punephotos/47343730.cms', text=u'', fragment='', nofollow=False)
Link(url='http://www.punemirror.in/photos/entertainment/nandita-das/punephotos/47343705.cms', text=u'', fragment='', nofollow=False)
Link(url='http://www.punemirror.in/photos/entertainment/cate-blanchett/punephotos/47343687.cms', text=u'', fragment='', nofollow=False)
Link(url='http://www.punemirror.in/photos/entertainment/sonam-kapoor/punephotos/47343677.cms', text=u'', fragment='', nofollow=False)
Link(url='http://www.punemirror.in/photos/sports/ipl-2015/Du-Plessis/punephotos/47318648.cms', text=u'', fragment='', nofollow=False)
Link(url='http://www.punemirror.in/photos/sports/ipl-2015/Virat-Kohli/punephotos/47318630.cms', text=u'', fragment='', nofollow=False)
Link(url='http://www.punemirror.in/photos/sports/ipl-2015/Rohit-Sharma/punephotos/47318621.cms', text=u'', fragment='', nofollow=False)
